Titulo,Autor,Ano
Body and Soul,Johnny Green / Edward Heyman / Robert Sour / Frank Eyton,1930
Bohemia After Dark,Oscar Pettiford,1955
Bop-Be,Keith Jarrett,1978
Bourbone Street Parade,Paul Barbarin,1949
Brain Cloudy Blues,Merle Haggard,1965
Brazil (Aquarela do Brasil),Ary Barroso / Bob Russell,1939
"Brigas, Nunca Mais",Antônio Carlos Jobim,1959
Buddy Bolden Blues,Jelly Roll Morton,1927
But Beautiful,Johnny Burke / Jimmy Van Heusen,1947
But Not For Me,George Gershwin / Ira Gershwin,1930
By a Waterfall,Sammy Fain / Irving Kahal,1933
Bye Bye Blackbird,Ray Henderson / Mort Dixon,1926
Bye Bye Blues,Fred Hamm / Dave Bennett / Bert Lown / Chauncey Gray,1925
C Jam Blues,Duke Ellington,1942
Cabaret,John Kander / Fred Ebb,1966
Call Me Irresponsible,Jimmy Van Heusen / Sammy Cahn,1962
Can Can,,
Candy,Alex Kramer / Mack David /Joan Whitney,1944
Caravan,Juan Tizol / Duke Ellington / Irving Mills,1936
Careless Love,traditional / W. C. Handy “Loveless Love”,1921
Centerpiece,,
Ceora,Lee Morgan,1965
C`est Si Bon,Henri Betti / Jerry Seelen,1947
Chameleon,Herbie Hancock / Paul Jackson / Harvey Mason / Bennie Maupin,1973
Chattanooga Choo-Choo,Harry Warren / Mack Gordon,1941
Cheek To Cheek,Irving Berlin,1934
Chelsea Bridge,Billy Strayhorn,1941
Cherokee,Ray Noble,1938
Cherry,Don Redman / Ray Gilbert,1928
Cheryl,Charlie Parker,1947
Chi Chi,Charlie Parker,1955
Chicago,Fred Fisher,1922
Child Is Born,Thad Jones,1969
China Boy,Phil Boutelje / Dick Winfree,1922
"Chinatown, My Chinatown",Jean Schwartz / William Jerome,1906
Choo Choo Ch’Boogie,V. Horten / D. Darling / M. Gabler,1945
Chovendo Na Roseira,Antônio Carlos Jobim,1980
Christopher Columbus,C. Berry / A. Razaf,1936
Clarinet Marmalade,Larry Shields / Henry Ragas,1918
Close Enough for Love,Johnny Mandel / Paul Williams,1979
Close To You (They Long To Be),Burt Bacharach / Hal David,1970
Close Your Eyes,Bernice Petkere,1933
Come Fly with Me,Jimmy Van Heusen / Sammy Cahn,1958
Come Rain or Come Shine,Johnny Mercer / Harold Arlen,1946
Come Sunday,Duke Ellington,1943
Comin` In On a Wing and a Prayer,Jimmy McHugh / Harold Adamson,1943
Con Alma,Dizzy Gillespie,1954
Confirmation,Charlie Parker,1945
Cool Blues,Charlie Parker,1949
Corcovado,Antônio Carlos Jobim,1960
"Corinne, Corinna",,
Countdown,John Coltrane,1959
Cow-Cow Boogie,Don Raye / Benny Carter / Gene De Paul,1942
Crazeology,Bennie Harris,1944
Crazy Rhythm,Irving Caesar / Joseph Meyer / Roger Wolfe Kahn,1928
Cry Me a River,Arthur Hamilton,1953
Daahoud,Clifford Brown,1973
Dardanella,Fred Fisher / Felix Bernard / Johnny S. Black,1919
Darkness On The Delta,J. Livingston,1932
Darktown Strutters Ball,Shelton Brooks,1917
Darn That Dream,Jimmy Van Heusen / Eddie DeLange,1939
Dat Mistige Rooie Beest,,
De Lachende Dwerg,,
Deed I Do,Fred Rose / Walter Hirsch,1926
Deep Purple,Peter De Rose / Mitchell Parish,1933
