Year,Position,Country,Genre,nameSong
1986,83,Brazil,jazz rock,GostodoPrazer-ACordoSom/GilbertoGil
1987,2,Brazil,rock,Quepaíséesse?-LegiãoUrbana
1987,15,Australia,rock,Don’tDreamIt’sOverLive-CrowdedHouse
1987,60,Brazil,Unknown,TiroaoÁlvaro-ElisReginaeAdoniranBarbosa
1987,81,Brazil,punk rock,AAUU-Titãs
1987,95,United States,jazz,Diamonds-HerbAlpertft.JanetJackson
1988,3,United States,pop,"(I’veHad)TheTimeOfMyLife-BillMedley,JenniferWarnes"
1988,7,United States,pop rock,She’sLikeTheWind-PatrickSwayzeft.WendyFraser
1988,33,United Kingdom,pop,"WhatHaveIDoneToDeserveThis?-PetShopBoys,DustySpringfield"
1988,59,United Kingdom,rock,Idon’twannagoonwithyoulikethat-EltonJohn
1988,97,United States,rock,Angel-Aerosmith
1989,56,Germany,pop,GirlYouKnowIt’sTrue-MilliVanilli
1989,62,United States,freestyle,WalkingAwayMouthToMouth-InformationSociety
1989,73,United States,electronic,Don’tRushMe-TaylorDayne
1990,9,Belgium,eurodance,PumpUpTheJam-Technotronicfeat.Felly
1990,73,United States,rock,Janie’sGotAGun-Aerosmith
1990,94,Brazil,sertanejo romântico,Nuvemdelágrimas-Chitãozinho&XororóPart.EspecialFafádeBelém
1990,97,Brazil,mpb,Essetalderepienroll-RoupaNova
1991,12,Brazil,samba-rock,W/Brasil(ChamaOSíndico)-JorgeBenJor
1991,16,Brazil,rock,GrandeHotel-KidAbelha
1991,18,United States,soft rock,ItAin’tOverTilIt’sOver-LennyKravitz
1991,30,United States,rock,LosingMyReligion-R.E.M.
1991,51,United States,rock,ShinyHappyPeople-R.E.M.
1991,53,United States,chamber pop,Tom’sDiner-DNAfeat.SuzanneVega
1991,57,United Kingdom,ambient house,3a.m.eternal-KLF
1991,78,Brazil,Unknown,Boy(WhyYouWannaMakeMeBlue)-DeborahBlando
1992,5,United Kingdom,rock,"Don’tLetTheSunGoDownOnMe-GeorgeMichael,EltonJohn"
1992,21,Unknown,Unknown,Comopénaestrada-SulaMiranda
1992,24,United States,rock,ToBeWithYou-Mr.Big
1992,38,United States,west coast hip hop,JumpAround-HouseofPain
1992,59,Italy,eurodance,PleaseDon’tGo-DoubleYou
1992,84,United States,rock,GiveItAway-RedHotChiliPeppers
1992,99,Brazil,pop rock,RioeCanoa-FábioJr.
1993,9,Brazil,sertanejo romântico,Words(Palavras)-BeeGees/Chitãozinho&Xororó
1993,10,Brazil,latin,OMaisBeloDosBelos-DanielaMercury
1993,13,Brazil,Unknown,OlhosVermelhos-NegritudeJr.
1993,21,Brazil,pop rock,AiQueSaudadeD’Ocê-FábioJr.
1993,42,Brazil,rock,Emnoventaedois-KidAbelha
1993,55,United States,hip hop rnb and dance hall,HeyMr.D.J.-Zhane
1994,5,Brazil,pop,EuSóPensoEmVocê-ZezéDiCamargo&LucianoftWillieNelson
1994,11,Brazil,Unknown,OndeVocêMora?-CidadeNegra
1994,17,United States,new jack swing,BumpN’Grind-R.Kelly
1994,23,Brazil,pop rock,Esqueça(ForgetHim)-FábioJr.
1994,27,United States,pop rock,SaidILovedYou…ButILied-MichaelBolton
1994,29,Germany,dance-pop,Mr.Vain-CultureBeat
1994,46,United States,soul and reggae,WhattaMan-SaltNPepa(feat.EnVogue)
1994,49,United States,pop,EndlessLove-LutherVandrossft.MariahCarey
1994,66,United States,rock,Mr.Jones-CountingCrows
1994,67,United States,american,What’smyname?-SnoopDoggyDogg
1995,4,Canada,rock,HaveYouEverReallyLovedAWoman?-BryanAdams
1995,11,Brazil,axé,Xôsatanás-Asadeáguia
1995,37,United States,pop rap,Gangsta’sParadise-Cooliofeat.L.V.
1995,38,Brazil,pop rock,PareçoumMenino-FábioJr.
1995,41,Brazil,Unknown,Absoluta-NegritudeJr.
1995,98,Brazil,Unknown,VenenodaLata-FernandaAbreuft.HerbertVianna
1995,100,United States,jazz,Quemévocê?-Simone
1996,46,Unknown,Unknown,Mission:Impossible-AdamClayton&LarryMullen
1996,70,Ireland,rock,MissSarajevo-U2&L.Pavarotti
1996,73,United States,2008 universal fire victim,HowDoYouWantIt-2PacFt.KCi&JoJo
1996,82,United States,2008 universal fire victim,NoDiggity-Blackstreetft.DrDre
1996,94,United States,rap,Loungin-LLCoolJ(feat.Total)
1997,12,United States,r&b,HardToSayI’mSorry-AzYetft.PeterCetera
1997,24,Brazil,Unknown,NegaVá-ÉOTchan
1997,29,Brazil,jovem guarda,MiaGioconda-AgnaldoRayolftChristyaneRalf
1997,35,United States,Unknown,PleaseDon’tGo-NoMercy
1997,60,United States,new jack swing,IBelieveICanFly-R.Kelly
1997,67,United States,acoustic rock,"Morethanthis.-10,000Maniacs"
1997,68,Brazil,pop rock,ImpossívelAcreditarQuePerdiVocê-FábioJr.
1997,69,Brazil,pop rock,SóVocê-FábioJr.
1997,71,United States,art pop,WhereHaveAlltheCowboysGone?-PaulaCole
1997,86,Brazil,pop,VivendoporViver-ZezéDiCamargo&Lucianoft.EduardoLages
1998,1,Canada,classic pop and rock,Immortality-CélineDionft.BeeGees
1998,30,United States,american,MyAll-MariahCarey
1998,37,Brazil,rock,PresentedeumBeija-Flor-Natiruts
1998,68,Brazil,Unknown,TôDentroTôFora-OsMorenos
1998,77,Brazil,Unknown,"VaiSacudir,VaiAbalar-CheirodeAmor"
1999,6,Puerto Rico,puerto rican,She’sAllIEverHad-RickyMartin
1999,14,Germany,contemporary r&b,MamboNo.5-LouBega
1999,63,Brazil,brega,Amanhã-RobertaMiranda&ReginaldoRossi
1999,65,Spain,rock,Y¿SiFueraElla?-AlejandroSanz
2000,3,United States,rock,Smooth-Santanaft.RobThomas
2000,11,United States,hip hop,MariaMaria-CarlosSantanaft.theProductG&B
2000,13,Australia,melodic rock,IKnewILovedYou-SavageGarden
2000,18,France,Unknown,PapodeJacaré-P.OBox
2000,40,Brazil,pop,AntesdeVoltarPraCasa-ZezéDiCamargo&Luciano
2000,43,Germany,classical,HistoriadeAmor-JuventudeS/A
2000,78,Brazil,singer-songwriter,BackAtOne-BrianMcKnightft.IveteSangalo
2000,80,Brazil,Unknown,Éotchannaselva-Éotchan
2000,88,Brazil,alternative rock,VaiPirar-Jigaboopart.CharlieBrownJr
2000,95,United States,american,AgainstAllOdds(TakeaLookatMeNow)-MariahCareyft.Westlife
2001,35,Brazil,Unknown,Porqueserá?-Tihuana
2001,40,Brazil,Unknown,CerolnaMão/EntraeSai-BondedoTigrão
2001,42,Saddle River,hip hop rnb and dance hall,I’mReal-JenniferLopezft.JaRule
2002,27,United States,latin,Ain’tItFunny-JenniferLopez
2002,37,United Kingdom,downtempo,mylover’sgone-Dido
2002,39,Canada,rock,Hero-ChadKroegerfeat.JoseyScott
2002,54,United States,alternative rock,TheGameOfLove-Santanaft.MichelleBranch
2002,81,United States,rap,Girlfriend-N’SyncftNelly
2002,91,Brazil,pop rock,OndeEstámeuAmor?-RPM
2003,16,United States,latin,JennyfromtheBlock-JenniferLopez(ft.Jadakiss&StylesP)
2003,19,Brazil,mpb,Jáseinamorar-Tribalistas
2003,42,Russia,pop,AllTheThingsSheSaid-T.A.T.U
2003,66,Brazil,sertanejo,CredoemCruz/AveMaria-BrunoeMarrone
2003,67,United States,pop,MeAgainstTheMusic-BritneySpearsft.Madonna
2004,88,United States,pop,MeAgainstTheMusic-BritneySpearsft.Madonna
2003,74,Unknown,Unknown,Vocêvaisearrepender-MarloneMaicon
2003,78,United States,rock,WhyDon’tYou&I-Santanaft.AlexBand
2003,89,United States,tex-mex,LágrimasDemais-Ritchie
2003,90,Brazil,alternative rock,VicioseVirtudes-CharlieBrownJr.
2004,76,Brazil,alternative rock,VicioseVirtudes-CharlieBrownJr.
2003,92,Brazil,samba,DeixadeBanca-RaçaNegra&ReginaldoRossi
2004,20,United States,pop,WhereIsTheLove?-TheBlackEyedPeas
2004,45,United States,hip hop rnb and dance hall,MyPlace-Nellyft.Jaheim
2004,48,Brazil,rock,ComoEuQuero-KidAbelha
2004,57,Brazil,Unknown,NaoOlhePraTrás-CapitalInicial
2004,89,United States,hardcore hip hop,"IKnowWhatYouWant-BustaRhymes,MariahCareyft.FlipmodeSquad"
2004,93,Brazil,Unknown,SambaMakossa-CharlieBrownjr.eMarceloD2
2004,95,United States,rock,Broken-Seetherft.AmyLee
2004,96,Brazil,alternative rock,NãoUsoSapato-CharlieBrownJr.
2005,24,United States,rock,Numb/Encore-Z
2005,46,United States,pop and chart,CarWash-ChristinaAguilera(feat.MissyElliott)
2005,47,Unknown,Unknown,Duvido/Apaixonado-Bokaloka
2005,58,Brazil,Unknown,Nãomeconteseusproblemas-Ivete/BandaEva25Anos
2005,88,United States,hip hop,LoseControl-MissyElliott(feat.Ciara&FatManScoop)
2006,84,United States,hip hop,LoseControl-MissyElliott(feat.Ciara&FatManScoop)
2005,89,Brazil,sertanejo romântico,Aquiosistemaébruto-Chitãozinho&Xororó
2005,90,Brazil,mpb,"Ai,Ai,Ai-VanessadaMata"
2005,91,Brazil,sertanejo,PorQuêChoras?-BrunoeMarrone&BandaCalypso
2005,92,Spain,rock,LaTortura-Shakiraft.AlejandroSanz
2005,100,United States,hip hop,"1,2Step-Ciaraft.MissyElliott"
2006,7,Saddle River,hip-hop,HipsDon’tLie-Shakiraft.WyclefJean
